DevID	 CerebusTime	 Roll	 Pitch	 Yaw	 xAcc	 yAcc	 zAcc	 xGyro	 yGyro	 zGyro	 xMagn	 yMagn	 zMagn	 q0	 q1	 q2	 q3
2	 4.260000	 0.132458	 0.002869	 0.058364	 -1.062496	 -9.318960	 4.393094	 0.083681	 -0.037764	 0.034124	 0.383545	 0.393066	 0.138184	 0.999999	 0.001156	 0.000026	 0.000509
1	 4.260000	 0.171471	 0.044631	 0.148377	 1.285208	 -9.129426	 4.110233	 0.147641	 0.006457	 0.041701	 0.359863	 0.509033	 0.080078	 0.999998	 0.001496	 0.000391	 0.001294
2	 4.260000	 0.189123	 0.017845	 0.065258	 -0.958427	 -9.492094	 4.417309	 0.108926	 -0.020592	 0.051011	 0.394287	 0.391113	 0.140381	 0.999998	 0.001650	 0.000157	 0.000569
1	 4.270000	 0.247173	 0.069262	 0.211683	 1.282751	 -9.165380	 4.115764	 0.167972	 0.008830	 0.046690	 0.359619	 0.513428	 0.080078	 0.999996	 0.002156	 0.000608	 0.001846
2	 4.270000	 0.252664	 0.040573	 0.068434	 -0.860892	 -9.598951	 4.446453	 0.134921	 -0.002116	 0.059570	 0.394531	 0.386963	 0.145020	 0.999997	 0.002205	 0.000355	 0.000596
1	 4.280000	 0.329090	 0.095817	 0.233106	 1.312671	 -9.164998	 4.166202	 0.175461	 0.001596	 0.057488	 0.359619	 0.511230	 0.078125	 0.999993	 0.002870	 0.000842	 0.002032
2	 4.280000	 0.324861	 0.071707	 0.074778	 -0.931219	 -9.585718	 4.487279	 0.163078	 0.007047	 0.064594	 0.394287	 0.388916	 0.135986	 0.999996	 0.002835	 0.000628	 0.000651
1	 4.290000	 0.403542	 0.125254	 0.350287	 1.335538	 -9.169327	 4.244672	 0.163646	 0.002313	 0.067778	 0.361816	 0.511475	 0.075928	 0.999989	 0.003518	 0.001104	 0.003053
2	 4.290000	 0.409403	 0.096486	 0.075307	 -1.053678	 -9.425649	 4.405267	 0.179299	 0.000213	 0.063178	 0.387939	 0.388916	 0.135986	 0.999993	 0.003572	 0.000844	 0.000654
1	 4.292600	 0.472745	 0.159212	 0.370630	 1.213996	 -9.118107	 4.207643	 0.148679	 0.007937	 0.071771	 0.359619	 0.509277	 0.073730	 0.999985	 0.004121	 0.001403	 0.003229
2	 4.300000	 0.497744	 0.122424	 0.081840	 -1.099139	 -9.044387	 4.528949	 0.177886	 -0.001456	 0.064748	 0.392090	 0.393311	 0.142578	 0.999990	 0.004343	 0.001071	 0.000710
1	 4.300000	 0.535852	 0.191458	 0.457868	 1.078819	 -9.083016	 4.133787	 0.142268	 0.013239	 0.072981	 0.355469	 0.507080	 0.073730	 0.999980	 0.004669	 0.001689	 0.003988
2	 4.310000	 0.574850	 0.145297	 0.079427	 -1.030339	 -8.714314	 4.475477	 0.164546	 0.005838	 0.056150	 0.392334	 0.388916	 0.133789	 0.999986	 0.005016	 0.001271	 0.000687
1	 4.310000	 0.605590	 0.227207	 0.479050	 1.063760	 -9.008063	 4.093353	 0.149909	 0.008352	 0.075878	 0.357422	 0.511230	 0.075928	 0.999975	 0.005276	 0.002005	 0.004170
2	 4.310000	 -0.000000	 0.000000	 0.000000	 -1.056062	 -8.893011	 4.457861	 0.111523	 0.016343	 0.079406	 0.390137	 0.388916	 0.135986	 1.000000	 -0.000000	 0.000000	 0.000000
1	 4.320000	 0.000000	 0.000000	 0.000000	 1.054497	 -8.880819	 4.123321	 0.148051	 0.011478	 0.079667	 0.357422	 0.509277	 0.071533	 1.000000	 0.000000	 0.000000	 0.000000
2	 4.320000	 0.036522	 0.044218	 0.002165	 -1.161994	 -9.039905	 4.460089	 0.078896	 0.025096	 0.096714	 0.392334	 0.388916	 0.133789	 1.000000	 0.000319	 0.000386	 0.000019
